description,amount,direction,category
City Taxi POS 9433 REFUND,26.07,credit,Transport
Doctor Clinic POS 4638,318.49,debit,Medical
Auto Loan Payment #5640,883.68,debit,Loans
CVS Pharmacy Branch,192.74,debit,Medical
Life Insurance Payment POS 6528,396.32,debit,Insurance
AMC - Order 83183,96.51,debit,Entertainment
Con Edison In-Store,272.03,debit,Utilities
City Taxi - Order 96127,44.59,debit,Transport
Domino's #9141,17.46,debit,Food & Drink
Card Store Online,133.69,debit,Gifts
Airbnb Outlet,266.38,debit,Travel
Auto Loan Payment - Order 71506,3513.03,debit,Loans
Life Insurance Payment POS 3711,165.98,debit,Insurance
Shell #8199,92.1,debit,Fuel
Amazon POS 7878,1167.21,debit,Shopping
Walmart #9648,129.91,debit,Groceries
Trader Joe's - Order 33053,33.06,debit,Groceries
Service Charge POS 3059,87.18,debit,Other
Stripe Payout In-Store,1396.53,credit,Income
Amazon Outlet,252.21,debit,Shopping
Freelance Upwork POS 7090,45968.97,credit,Income
Big Mart In-Store,11.23,debit,Groceries
Walgreens POS 1840,585.48,debit,Medical
Expedia #8161,605.88,debit,Travel
Auto Loan Payment - Order 69183,464.68,debit,Loans
Delta Airlines In-Store,1176.97,debit,Travel
Service Charge #1605,68.77,debit,Other
Loan EMI Bank - Order 22521,168.45,debit,Loans
Metro Recharge POS 2761,22.63,debit,Transport
Landlord Inc - Order 30214,1933.91,debit,Housing
Netflix Outlet,95.52,debit,Entertainment
Water Works POS 3871,76.48,debit,Utilities
ACME Corp Payroll Online,38852.21,credit,Income
Housing Society - Order 72368,767.44,debit,Housing
Bank Fee Outlet,99.14,debit,Other
ACME Corp Payroll Online,37277.08,credit,Income
Netflix POS 7671,174.1,debit,Entertainment
Marriott - Order 48687,1721.1,debit,Travel
Metro Recharge #9429,55.05,debit,Transport
Landlord Inc #4265,1900.28,debit,Housing
AMC POS 3664,169.92,debit,Entertainment
Rent Payment Online,982.86,debit,Housing
Airbnb #4829,6128.27,debit,Travel
Amazon - Order 85457,713.06,debit,Shopping
Stripe Payout POS 6303,16881.81,credit,Income
CVS Pharmacy - Order 86415,164.55,debit,Medical
Shell POS 6139,75.24,debit,Fuel
Cafe Nero POS 4263,15.48,debit,Food & Drink
Walmart #7537,167.59,debit,Groceries
Walgreens - Order 73369,83.11,debit,Medical
Amazon #7630,14.52,debit,Shopping
Service Charge #1690,4.58,debit,Other
Texaco POS 1911,53.23,debit,Fuel
Housing Society #8371,972.02,debit,Housing
YMCA POS 2723,82.44,debit,Fitness
Insurance Co #1280,174.58,debit,Insurance
Service Charge Outlet,325.39,debit,Other
Service Charge #1635,62.28,debit,Other
Delta Airlines #9781,1643.22,debit,Travel
Card Store POS 7395,203.57,debit,Gifts
Con Edison #8436,202.43,debit,Utilities
AT&T - Order 20744,268.17,debit,Utilities
YMCA Outlet,74.95,debit,Fitness
Delta Airlines POS 3745,637.67,debit,Travel
Bank Fee Branch,146.81,debit,Other
Doctor Clinic - Order 33580,564.43,debit,Medical
Landlord Inc - Order 45171,645.1,debit,Housing
Mobil Online,234.1,debit,Fuel
Flipkart POS 4568,596.18,debit,Shopping
Big Mart POS 2771,173.13,debit,Groceries
Amazon Gifts #7200,28.63,debit,Gifts
Loan EMI Bank #6386 (recurring),258.84,debit,Loans
Misc Vendor #4599,106.89,debit,Other
Gift Shop Branch,169.31,debit,Gifts
Flipkart #7422,142.53,debit,Shopping
Big Mart #330,66.74,debit,Groceries
McDonald's Online,89.78,debit,Food & Drink
Auto Loan Payment POS 6623,607.23,debit,Loans
City Hospital #7568,723.42,debit,Medical
Landlord Inc Outlet,575.88,debit,Housing
Walgreens #3435,552.48,debit,Medical
Amazon - Order 74865,714.75,debit,Shopping
Transit Card #7501,40.6,debit,Transport
Landlord Inc - Order 73691,1016.99,debit,Housing
Shell Branch,84.37,debit,Fuel
Life Insurance Payment #7822,291.02,debit,Insurance
ExxonMobil - Order 14888,22.91,debit,Fuel
Electric Co #6705 REFUND,52.99,credit,Utilities
Comcast POS 6876,263.05,debit,Utilities
Housing Society Online REFUND,1801.27,credit,Housing
Subway In-Store,109.88,debit,Food & Drink
Comcast POS 2442,53.24,debit,Utilities
Target - Order 67684,741.21,debit,Shopping
Freelance Upwork Online,23926.16,credit,Income
Trader Joe's In-Store,50.22,debit,Groceries
Spotify #1085,175.66,debit,Entertainment
CVS Pharmacy In-Store,527.26,debit,Medical
Rent Payment #6193,1051.26,debit,Housing
CVS Pharmacy In-Store,500.32,debit,Medical
Con Edison POS 8170,205.0,debit,Utilities
Transit Card #9089 (online),78.52,debit,Transport
Housing Society In-Store,627.34,debit,Housing
ACME Corp Payroll Outlet,57815.62,credit,Income
AMC - Order 39939,119.99,debit,Entertainment
Subway Outlet,100.98,debit,Food & Drink
Walgreens #4634,572.85,debit,Medical
Olive Garden - Order 13441,92.2,debit,Food & Drink
Flipkart POS 8449,7.96,debit,Shopping
Loan EMI Bank #8258,722.58,debit,Loans
Life Insurance Payment In-Store,365.37,debit,Insurance
Loan EMI Bank POS 7136 (vip),163.75,debit,Loans
Stripe Payout POS 8951,33761.98,credit,Income
Card Store - Order 91764,28.08,debit,Gifts
Target #9478 (recurring),753.28,debit,Shopping
BP - Order 56437,42.32,debit,Fuel
Gift Shop Branch,247.7,debit,Gifts
Rent Payment - Order 54430,783.71,debit,Housing
Planet Fitness Outlet,54.25,debit,Fitness
Domino's - Order 57453,8.07,debit,Food & Drink
Service Charge #3967,118.79,debit,Other
Housing Society Branch,1362.11,debit,Housing
City Taxi #7750,3.48,debit,Transport
Olive Garden Online (vip),16.65,debit,Food & Drink
Planet Fitness #9483,68.42,debit,Fitness
Target Branch,245.75,debit,Shopping
Transit Card - Order 25907,4.05,debit,Transport
Loan EMI Bank #3997,586.82,debit,Loans
Rent Payment - Order 38757,662.34,debit,Housing
Subway #3030,49.88,debit,Food & Drink
Planet Fitness - Order 39697,18.65,debit,Fitness
Gift Shop In-Store,55.52,debit,Gifts
Mobil In-Store,55.35,debit,Fuel
City Hospital - Order 84323,290.61,debit,Medical
Planet Fitness - Order 14546,69.39,debit,Fitness
Housing Society In-Store,1907.19,debit,Housing
Gift Shop - Order 71799,172.98,debit,Gifts
AMC - Order 60556,140.75,debit,Entertainment
BP #3338,37.7,debit,Fuel
Metro Recharge Branch,7.33,debit,Transport
Domino's #1511,31.5,debit,Food & Drink
Doctor Clinic Branch,20.17,debit,Medical
Lyft POS 9444,44.36,debit,Transport
Stripe Payout #7387,7939.87,credit,Income
Insurance Co #5468,314.89,debit,Insurance
Gift Shop #5830,278.36,debit,Gifts
Doctor Clinic POS 9051,158.64,debit,Medical
Gym Membership - Order 12438,100.63,debit,Fitness
Airbnb POS 2870,1250.48,debit,Travel
Texaco - Order 65591,32.41,debit,Fuel
Bookstore Outlet,98.94,debit,Entertainment
Card Store Online (promo),133.06,debit,Gifts
Bank Fee Online,24.7,debit,Other
BP POS 6194,94.7,debit,Fuel
Loan EMI Bank POS 9436,52.35,debit,Loans
Freelance Upwork - Order 81197,53794.09,credit,Income
Misc Vendor - Order 70344,34.46,debit,Other
Aldi POS 6310,937.61,debit,Groceries
Housing Society - Order 18569,625.86,debit,Housing
Walmart POS 3506,109.13,debit,Groceries
Misc Vendor - Order 81576,142.9,debit,Other
Gift Shop Outlet,133.55,debit,Gifts
Misc Vendor Online,130.3,debit,Other
Life Insurance Payment - Order 51896,23.49,debit,Insurance
YMCA - Order 71066,49.74,debit,Fitness
Shell Branch,72.69,debit,Fuel
Marriott Branch,841.76,debit,Travel
Auto Loan Payment POS 6045,743.24,debit,Loans
Domino's In-Store,34.99,debit,Food & Drink
BestBuy POS 6828,814.23,debit,Shopping
Insurance Co #6461,98.84,debit,Insurance
Life Insurance Payment POS 1119,304.87,debit,Insurance
Gift Shop #5333,88.47,debit,Gifts
Freelance Upwork Outlet (recurring),13633.01,credit,Income
Life Insurance Payment Branch,272.83,debit,Insurance
Life Insurance Payment - Order 89498,206.69,debit,Insurance
Stripe Payout In-Store,21920.51,credit,Income
Planet Fitness POS 9433,86.56,debit,Fitness
Stripe Payout In-Store,49255.4,credit,Income
Airbnb POS 5826,197.64,debit,Travel
Texaco Branch,85.32,debit,Fuel
Housing Society - Order 31344,1078.11,debit,Housing
Service Charge In-Store,72.37,debit,Other
Auto Loan Payment POS 2138,224.78,debit,Loans
Gym Membership - Order 90533,26.25,debit,Fitness
Stripe Payout Outlet (online),15432.95,credit,Income
YMCA - Order 54605,34.32,debit,Fitness
Bank Fee #709,16.69,debit,Other
Delta Airlines POS 2318,615.42,debit,Travel
Transit Card - Order 65476,5.72,debit,Transport
Auto Loan Payment - Order 92554,97.78,debit,Loans
Insurance Co #5739,206.98,debit,Insurance
Rent Payment #43,1002.38,debit,Housing
ACME Corp Payroll In-Store,28417.28,credit,Income
Insurance Co POS 3418,182.3,debit,Insurance
Life Insurance Payment #8232 (recurring),67.93,debit,Insurance
Amazon Gifts Branch,6.71,debit,Gifts
Flipkart POS 4496,714.45,debit,Shopping
Electric Co - Order 99995,214.41,debit,Utilities
Insurance Co POS 6134,20.64,debit,Insurance
AMC - Order 32570,137.76,debit,Entertainment
Apple Store POS 5402,95.24,debit,Shopping
Rent Payment Outlet,1804.88,debit,Housing
BestBuy - Order 71824,789.95,debit,Shopping
Whole Foods - Order 51904,141.85,debit,Groceries
Bank Fee In-Store,126.23,debit,Other
Whole Foods - Order 97012 (recurring),52.68,debit,Groceries
Amazon #7241,786.14,debit,Shopping
Trader Joe's #2714,122.46,debit,Groceries
Amazon Gifts - Order 60921,149.8,debit,Gifts
Bank Fee POS 2180,136.46,debit,Other
Walgreens #9364,602.47,debit,Medical
Water Works #5263,174.14,debit,Utilities
ExxonMobil #1799,62.48,debit,Fuel
Domino's #261,116.4,debit,Food & Drink
Transit Card Online,61.82,debit,Transport
BP Branch,56.72,debit,Fuel
Life Insurance Payment - Order 58777,319.36,debit,Insurance
Auto Loan Payment #6618,74.16,debit,Loans
Loan EMI Bank #4101 REFUND,578.36,credit,Loans
Domino's Online,35.28,debit,Food & Drink
Metro Recharge #3155,63.47,debit,Transport
Bank Fee Online,16.8,debit,Other
Amazon Gifts - Order 47022,51.11,debit,Gifts
Mobil #7926 REFUND,52.91,credit,Fuel
Aldi In-Store (promo),197.57,debit,Groceries
Landlord Inc #7225,782.97,debit,Housing
YMCA Outlet,50.91,debit,Fitness
Service Charge POS 7866,103.64,debit,Other
Life Insurance Payment POS 3189,132.06,debit,Insurance
Planet Fitness - Order 73472,97.24,debit,Fitness
Gift Shop - Order 11035,136.63,debit,Gifts
Stripe Payout #1321,6185.45,credit,Income
Card Store #7663,296.7,debit,Gifts
Bank Fee - Order 13956,12.48,debit,Other
Life Insurance Payment POS 4946,281.43,debit,Insurance
Trader Joe's POS 5543,62.17,debit,Groceries
Delta Airlines Outlet,1893.46,debit,Travel
Rent Payment - Order 98103,516.63,debit,Housing
Movie Theater - Order 11493,73.34,debit,Entertainment
Marriott Outlet,1186.32,debit,Travel
Subway POS 9889,24.95,debit,Food & Drink
Insurance Co In-Store,256.48,debit,Insurance
Movie Theater #4279,173.95,debit,Entertainment
Bookstore POS 3703,24.75,debit,Entertainment
Landlord Inc #9861 (online),929.82,debit,Housing
Apple Store POS 5835,663.07,debit,Shopping
Card Store #533,40.6,debit,Gifts
AT&T Branch,80.65,debit,Utilities
Subway #4847 (vip),83.24,debit,Food & Drink
ACME Corp Payroll POS 8746,41045.82,credit,Income
Starbucks - Order 29555,92.44,debit,Food & Drink
Big Mart POS 7118,95.78,debit,Groceries
Auto Loan Payment POS 1648 REFUND,266.34,credit,Loans
Spotify #3397,193.59,debit,Entertainment
Aldi - Order 15817,23.3,debit,Groceries
Walgreens #7470,261.64,debit,Medical
City Hospital Outlet,95.5,debit,Medical
Trader Joe's #5738,85.71,debit,Groceries
Electric Co In-Store,67.22,debit,Utilities
City Taxi #9699,37.25,debit,Transport
Rent Payment #8659,468.87,debit,Housing
Freelance Upwork - Order 11197,47907.66,credit,Income
Kroger Online,172.51,debit,Groceries
Delta Airlines In-Store,96.22,debit,Travel
YMCA #2640 REFUND,73.59,credit,Fitness
Whole Foods POS 5562,35.14,debit,Groceries
Apple Store #4189,1036.2,debit,Shopping
Kroger Branch,176.15,debit,Groceries
Airbnb #9830,303.32,debit,Travel
ExxonMobil - Order 78302,44.09,debit,Fuel
Auto Loan Payment #7230,333.3,debit,Loans
Marriott - Order 52498 (recurring),1931.15,debit,Travel
Netflix Branch REFUND,183.85,credit,Entertainment
Expedia POS 3917,942.59,debit,Travel
Metro Recharge - Order 47967,55.43,debit,Transport
Stripe Payout POS 5444,46967.96,credit,Income
City Taxi - Order 11013,43.54,debit,Transport
McDonald's - Order 84228,116.7,debit,Food & Drink
Housing Society POS 8605,1352.69,debit,Housing
Target Outlet,730.28,debit,Shopping
Kroger POS 8251,114.1,debit,Groceries
Walgreens - Order 61815,216.67,debit,Medical
Doctor Clinic #2842,463.15,debit,Medical
Trader Joe's #5431,89.83,debit,Groceries
ExxonMobil - Order 54185,71.1,debit,Fuel
Insurance Co #97,238.53,debit,Insurance
Spotify POS 2342,65.13,debit,Entertainment
Bookstore - Order 44768,81.62,debit,Entertainment
ACME Corp Payroll #3777,42198.7,credit,Income
Housing Society #2067,1150.74,debit,Housing
Card Store - Order 69409,238.35,debit,Gifts
Electric Co POS 5170,274.82,debit,Utilities
Planet Fitness Online,56.65,debit,Fitness
Marriott Outlet,812.75,debit,Travel
Starbucks POS 5728,83.58,debit,Food & Drink
YMCA - Order 67164,25.01,debit,Fitness
Delta Airlines - Order 70786,772.32,debit,Travel
Amazon Gifts POS 7810,180.77,debit,Gifts
Amazon Online,1107.48,debit,Shopping
Expedia POS 3945,1126.5,debit,Travel
Insurance Co #5835,267.04,debit,Insurance
Insurance Co #6994,219.49,debit,Insurance
City Hospital - Order 16426,231.08,debit,Medical
BP POS 7999,47.55,debit,Fuel
Marriott #3323,266.66,debit,Travel
Amazon POS 9128,71.25,debit,Shopping
Electric Co In-Store,295.37,debit,Utilities
Cafe Nero - Order 51359,89.42,debit,Food & Drink
Airbnb - Order 89242,575.04,debit,Travel
Mobil #6237,32.34,debit,Fuel
AMC - Order 39654,135.16,debit,Entertainment
Marriott - Order 43679,1490.99,debit,Travel
ACME Corp Payroll #823,17285.81,credit,Income
Mobil Branch,80.35,debit,Fuel
Netflix Outlet,56.51,debit,Entertainment
Insurance Co #387,88.82,debit,Insurance
Kroger Online,74.63,debit,Groceries
Gift Shop - Order 25533,244.96,debit,Gifts
Loan EMI Bank #60,701.75,debit,Loans
Big Mart - Order 66155,36.28,debit,Groceries
Bank Fee POS 3792,146.05,debit,Other
Misc Vendor - Order 34607,146.52,debit,Other
Landlord Inc #9894,1418.05,debit,Housing
Metro Recharge #1512,32.92,debit,Transport
Loan EMI Bank #3623,130.76,debit,Loans
Electric Co Branch,248.64,debit,Utilities
YMCA Online,28.06,debit,Fitness
Shell - Order 58637 (online),50.17,debit,Fuel
Cafe Nero - Order 71592,36.08,debit,Food & Drink
BP Online,79.75,debit,Fuel
Bookstore POS 2741,43.95,debit,Entertainment
Texaco POS 6325,45.1,debit,Fuel
Landlord Inc POS 9501,1511.23,debit,Housing
Loan EMI Bank - Order 84329,187.05,debit,Loans
Bookstore POS 1999,86.63,debit,Entertainment
Life Insurance Payment #4486,392.2,debit,Insurance
Misc Vendor In-Store,108.66,debit,Other
Insurance Co POS 2005,135.63,debit,Insurance
Insurance Co #8386,397.82,debit,Insurance
AT&T Outlet,275.97,debit,Utilities
Spotify #1692,63.15,debit,Entertainment
City Hospital Outlet,493.36,debit,Medical
Planet Fitness - Order 32514,103.64,debit,Fitness
Expedia - Order 46591,896.79,debit,Travel
BestBuy #5221,167.65,debit,Shopping
Electric Co #5928,201.59,debit,Utilities
Delta Airlines POS 9015,1104.08,debit,Travel
Flipkart - Order 98288,290.09,debit,Shopping
Walgreens #9264 (promo),672.42,debit,Medical
Walmart In-Store,177.99,debit,Groceries
Transit Card #9640,42.41,debit,Transport
Stripe Payout In-Store,19842.87,credit,Income
Cafe Nero #7810,28.93,debit,Food & Drink
Loan EMI Bank #3403 (promo),129.41,debit,Loans
YMCA POS 8872,79.08,debit,Fitness
Con Edison #8983,157.88,debit,Utilities
Bookstore Branch,100.58,debit,Entertainment
Service Charge - Order 64256,82.85,debit,Other
Insurance Co - Order 68805,159.48,debit,Insurance
Freelance Upwork #3200,21904.53,credit,Income
Electric Co POS 1769,287.88,debit,Utilities
Bank Fee POS 7399,118.05,debit,Other
McDonald's #2139 REFUND,6.02,credit,Food & Drink
Gym Membership POS 3409 (online),22.35,debit,Fitness
Netflix Branch,126.89,debit,Entertainment
Loan EMI Bank - Order 30119,75.83,debit,Loans
BestBuy - Order 49223,814.18,debit,Shopping
Landlord Inc Online,1772.12,debit,Housing
Misc Vendor - Order 66243,48.4,debit,Other
Con Edison POS 3535,91.02,debit,Utilities
ACME Corp Payroll - Order 29601,25580.48,credit,Income
Freelance Upwork Outlet,41804.42,credit,Income
ACME Corp Payroll Branch,39623.15,credit,Income
Gift Shop #4985,81.94,debit,Gifts
Shell POS 5703,30.83,debit,Fuel
Landlord Inc POS 3942,1397.1,debit,Housing
Transit Card Online,57.92,debit,Transport
AMC Online,37.74,debit,Entertainment
Expedia Outlet,133.49,debit,Travel
Housing Society POS 4212,771.49,debit,Housing
Landlord Inc Online,1094.84,debit,Housing
Delta Airlines Online,640.51,debit,Travel
Service Charge #4277,94.49,debit,Other
Comcast - Order 80513,236.6,debit,Utilities
Amazon - Order 67342,524.21,debit,Shopping
Gift Shop #6558,129.49,debit,Gifts
Auto Loan Payment POS 6918,92.93,debit,Loans
Misc Vendor In-Store,20.55,debit,Other
BP - Order 62538 REFUND,94.87,credit,Fuel
City Taxi #6542,38.38,debit,Transport
Apple Store #3063,1060.3,debit,Shopping
Service Charge #9354,87.19,debit,Other
Con Edison - Order 55069,81.82,debit,Utilities
Insurance Co In-Store,308.55,debit,Insurance
Freelance Upwork In-Store,21535.51,credit,Income
Doctor Clinic - Order 49948,559.73,debit,Medical
Auto Loan Payment POS 3869,724.97,debit,Loans
Landlord Inc POS 7181,1717.26,debit,Housing
Freelance Upwork #6094,50691.0,credit,Income
Amazon POS 6145,433.15,debit,Shopping
Planet Fitness Branch,98.11,debit,Fitness
CVS Pharmacy POS 7566,198.73,debit,Medical
Card Store Online (vip),177.74,debit,Gifts
Movie Theater Branch,40.17,debit,Entertainment
Starbucks - Order 60140,77.63,debit,Food & Drink
BP Outlet,37.67,debit,Fuel
ACME Corp Payroll #3320,2393.12,credit,Income
Amazon POS 6759,172.1,debit,Shopping
Flipkart - Order 10088,365.73,debit,Shopping
Metro Recharge #6853,15.41,debit,Transport
Gift Shop Online,117.38,debit,Gifts
Gift Shop POS 3483,45.71,debit,Gifts
McDonald's - Order 82255,62.46,debit,Food & Drink
Mobil - Order 64732,50.39,debit,Fuel
Transit Card Branch,156.72,debit,Transport
Bookstore - Order 64997,119.65,debit,Entertainment
Life Insurance Payment - Order 34125,23.37,debit,Insurance
Shell - Order 41797,82.04,debit,Fuel
Insurance Co - Order 23508,70.27,debit,Insurance
Domino's - Order 97177,58.49,debit,Food & Drink
Spotify - Order 64529,156.94,debit,Entertainment
Life Insurance Payment POS 5509,65.6,debit,Insurance
ExxonMobil - Order 98008 (recurring),46.64,debit,Fuel
Metro Recharge #7850,75.6,debit,Transport
Housing Society In-Store,1930.29,debit,Housing
Doctor Clinic - Order 49760,89.88,debit,Medical
Doctor Clinic #653,354.45,debit,Medical
Walmart Online,159.17,debit,Groceries
Doctor Clinic #8807,242.98,debit,Medical
Big Mart #1707,39.54,debit,Groceries
Expedia - Order 22844,1518.5,debit,Travel
Texaco In-Store,24.73,debit,Fuel
Starbucks Online,52.61,debit,Food & Drink
Apple Store POS 3258,586.57,debit,Shopping
Housing Society #1944,1904.92,debit,Housing
City Hospital - Order 78657,307.58,debit,Medical
City Taxi - Order 19835,13.14,debit,Transport
Trader Joe's - Order 31319,143.35,debit,Groceries
Doctor Clinic - Order 21287,713.56,debit,Medical
Airbnb POS 4276,193.38,debit,Travel
Planet Fitness POS 2313,41.72,debit,Fitness
Stripe Payout Branch,33702.18,credit,Income
Netflix Online,174.82,debit,Entertainment
AMC - Order 86418,129.47,debit,Entertainment
Starbucks Outlet,97.44,debit,Food & Drink
Whole Foods Outlet,93.95,debit,Groceries
Auto Loan Payment Outlet,116.85,debit,Loans
Airbnb #2184,7087.51,debit,Travel
Gym Membership - Order 26276,85.66,debit,Fitness
Marriott - Order 47593,1710.32,debit,Travel
Gym Membership #9577,119.11,debit,Fitness
Uber In-Store,41.33,debit,Transport
Insurance Co Outlet,243.79,debit,Insurance
Walmart #2514,123.22,debit,Groceries
Apple Store #2151 (online),314.29,debit,Shopping
Service Charge POS 9892,126.92,debit,Other
City Taxi Online,52.67,debit,Transport
Auto Loan Payment POS 9043,79.31,debit,Loans
Freelance Upwork - Order 59947,52161.33,credit,Income
Insurance Co #9826,43.1,debit,Insurance
Planet Fitness - Order 77177,26.08,debit,Fitness
Netflix POS 3725,78.85,debit,Entertainment
Life Insurance Payment #8456,253.9,debit,Insurance
Con Edison POS 3018,185.01,debit,Utilities
Comcast #1536,236.96,debit,Utilities
Gift Shop In-Store REFUND,172.34,credit,Gifts
Shell - Order 15798,80.35,debit,Fuel
Cafe Nero #9434,23.5,debit,Food & Drink
YMCA POS 6915,103.92,debit,Fitness
Stripe Payout Branch,40632.31,credit,Income
McDonald's #4344,78.77,debit,Food & Drink
Comcast POS 2856,154.13,debit,Utilities
Kroger - Order 16630,102.27,debit,Groceries
Loan EMI Bank #4538,459.52,debit,Loans
ACME Corp Payroll - Order 47287,59608.01,credit,Income
Subway - Order 59941,75.49,debit,Food & Drink
Comcast Online,99.19,debit,Utilities
BP - Order 33392 REFUND (promo),37.82,credit,Fuel
Loan EMI Bank #1522,191.62,debit,Loans
Life Insurance Payment - Order 45446,20.53,debit,Insurance
Movie Theater #5911,152.85,debit,Entertainment
Loan EMI Bank #7839,766.41,debit,Loans
City Hospital - Order 66925,680.34,debit,Medical
Subway #2983,50.78,debit,Food & Drink
Domino's POS 2210,118.56,debit,Food & Drink
Lyft #9880,12.69,debit,Transport
Insurance Co POS 2946,208.32,debit,Insurance
Target In-Store,324.47,debit,Shopping
BestBuy #2745,40.08,debit,Shopping
Lyft - Order 41348,75.88,debit,Transport
Starbucks In-Store,95.27,debit,Food & Drink
Lyft #8404,54.92,debit,Transport
Delta Airlines - Order 80742,427.75,debit,Travel
Service Charge Branch (recurring),106.98,debit,Other
Freelance Upwork POS 2467,18818.16,credit,Income
Olive Garden POS 1996,52.87,debit,Food & Drink
Starbucks POS 7367,114.08,debit,Food & Drink
